base_name,epoch,train_id,segment,speaker_id,sample_rate,target_length,processed_length,snr_db,si_sdr_db,pesq,stoi,noisy_snr_db,snr_improvement_db,sdr,sir,sar
epoch020_train_08_ha_seg195,20,8,195,2,16000,16832,16832,-0.005649911918356611,-57.028163399894936,1.0283010005950928,0.31804987932805673,-2.080069303725854,2.074419391807498,,,
epoch028_train_16_ha_seg116,28,16,116,0,16000,38336,38336,-22.56790815776204,-22.89276110150913,1.0702500343322754,0.5923815189950783,-14.221887073211354,-8.346021084550687,,,
epoch028_train_16_ha_seg116,28,16,116,1,16000,38336,38336,-0.3580153037503867,-23.473789768653802,1.0470502376556396,0.41302701584264695,-14.702862291934567,14.34484698818418,,,
epoch028_train_16_ha_seg116,28,16,116,2,16000,38336,38336,-0.08963942594720455,-26.765479379043107,1.0882115364074707,0.41115570242500943,-11.276486325800102,11.186846899852897,,,
epoch000_train_01_ha_seg103,0,1,103,0,16000,41920,41920,-15.871838146622043,-35.7466160781326,1.0447601079940796,0.40844431412339066,-32.68313828891545,16.81130014229341,,,
epoch000_train_01_ha_seg103,0,1,103,1,16000,41920,41920,-11.142251766032398,-61.28402095558002,1.0767608880996704,0.24118830208730688,-27.865903017377917,16.72365125134552,,,
epoch000_train_01_ha_seg103,0,1,103,2,16000,41920,41920,-8.397588504777007,-37.160880357310134,1.0647609233856201,0.3569266977811071,-24.752193161043238,16.354604656266233,,,
epoch028_train_26_ha_seg076,28,26,76,0,16000,19904,19904,-8.453127010064446,-9.945893577626864,1.1132304668426514,0.525184579898521,-5.742178193665279,-2.710948816399166,,,
epoch028_train_26_ha_seg076,28,26,76,1,16000,19904,19904,-0.06598123033980414,-24.722461180685897,2.8842296600341797,0.33663485071477944,-6.048898199724007,5.9829169693842035,,,
epoch028_train_26_ha_seg076,28,26,76,2,16000,19904,19904,-0.14725106357838086,-23.299308448261836,1.033158779144287,0.3701914728401488,-8.129441283743672,7.9821902201652914,,,
epoch036_train_19_ha_seg017,36,19,17,0,16000,64000,64000,-11.576159853519117,-21.802216643279337,1.0695362091064453,0.5376705260811782,-9.090186763014568,-2.485973090504549,,,
epoch036_train_19_ha_seg017,36,19,17,1,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch036_train_19_ha_seg017,36,19,17,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch010_train_14_ha_seg038,10,14,38,0,16000,10176,10176,-12.874448779314662,-5.68791994180803,1.1971081495285034,0.6302622947248228,-13.287140459722664,0.4126916804080025,,,
epoch010_train_14_ha_seg038,10,14,38,1,16000,10176,10176,-1.5971143848432903,-26.72636132049916,1.0584083795547485,0.24100666062261553,-16.651480560085975,15.054366175242684,,,
epoch010_train_14_ha_seg038,10,14,38,2,16000,10176,10176,0.004474211054570587,-25.078412824107318,1.0384349822998047,0.20178609800711197,-3.691646303663681,3.6961205147182516,,,
epoch012_train_11_ha_seg141,12,11,141,0,16000,54208,54208,-10.448777132570735,-11.829828333173506,1.2129195928573608,0.5733238792095318,-6.240397813167849,-4.208379319402885,,,
epoch012_train_11_ha_seg141,12,11,141,1,16000,54208,54208,-1.903338822822581,-36.7603754822133,1.0384821891784668,0.34546196038088656,-19.35843505635712,17.45509623353454,,,
epoch012_train_11_ha_seg141,12,11,141,2,16000,54208,54208,-0.3489992755028215,-37.38155588462375,1.0235214233398438,0.4189866175205412,-9.997455149225836,9.648455873723014,,,
epoch000_train_18_ha_seg015,0,18,15,0,16000,13760,13760,-8.56327356129124,-24.767661769147313,1.0986616611480713,0.7167906487484629,-12.463661946235442,3.9003883849442023,,,
epoch000_train_18_ha_seg015,0,18,15,1,16000,13760,13760,-6.64672107271967,-30.339098615081745,1.0644023418426514,1e-05,-19.585301519049892,12.938580446330223,,,
epoch000_train_18_ha_seg015,0,18,15,2,16000,13760,13760,-3.1289839372248447,-36.956140967994735,1.0349273681640625,0.36775880470324934,-15.70635568893418,12.577371751709334,,,
epoch050_train_15_ha_seg014,50,15,14,0,16000,64000,64000,-6.86930240303229,-18.23750252112227,1.0997976064682007,0.5781960426637077,-12.470892058731406,5.601589655699117,,,
epoch050_train_15_ha_seg014,50,15,14,1,16000,64000,64000,-0.14164329051328947,-56.74913208197411,1.1054283380508423,0.37278763220107336,-12.737270877729296,12.595627587216006,,,
epoch050_train_15_ha_seg014,50,15,14,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch018_train_01_ha_seg169,18,1,169,0,16000,64000,64000,-4.316989366360316,-9.972157220332283,1.2751874923706055,0.5375807032838226,-24.161548465081985,19.844559098721668,,,
epoch018_train_01_ha_seg169,18,1,169,1,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch018_train_01_ha_seg169,18,1,169,2,16000,64000,64000,-0.04354751990487283,-43.42532911246283,1.0597374439239502,0.4209771639752,-23.508611654613453,23.46506413470858,,,
epoch032_train_30_ha_seg071,32,30,71,0,16000,64000,64000,-2.6209864124979756,-12.760743391257538,1.2554306983947754,0.5436543632146811,-14.376715149936231,11.755728737438256,,,
epoch032_train_30_ha_seg071,32,30,71,1,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch032_train_30_ha_seg071,32,30,71,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch018_train_25_ha_seg159,18,25,159,0,16000,20928,20928,-7.327656400401244,-10.501405823726103,1.0879626274108887,0.5577096870285022,-13.442527961677266,6.114871561276022,,,
epoch018_train_25_ha_seg159,18,25,159,1,16000,20928,20928,-0.21887220491711384,-31.352953023251835,1.0479899644851685,0.4142539334899941,-4.4234257290336885,4.204553524116575,,,
epoch018_train_25_ha_seg159,18,25,159,2,16000,20928,20928,-0.09890718230544811,-47.877751223582095,1.038697600364685,0.26386778114775045,-8.0843413298189,7.985434147513452,,,
epoch026_train_13_ha_seg155,26,13,155,0,16000,64000,64000,-8.619931573081793,-12.857395888084069,1.1091628074645996,0.570180205769531,-9.25361205589224,0.6336804828104476,,,
epoch026_train_13_ha_seg155,26,13,155,1,16000,64000,64000,-0.034811603999798685,-63.076368007989046,1.0448764562606812,0.37318960027047476,-8.463061385663583,8.428249781663784,,,
epoch026_train_13_ha_seg155,26,13,155,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch004_train_28_ha_seg119,4,28,119,0,16000,64000,64000,-14.800636786584779,-28.801445959876993,1.0797311067581177,0.636921485800376,-9.508956593740578,-5.2916801928442005,,,
epoch004_train_28_ha_seg119,4,28,119,1,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch004_train_28_ha_seg119,4,28,119,2,16000,64000,64000,-6.234159309202535,-61.890322065356855,1.1376769542694092,0.3286963254385752,-22.582768571275203,16.348609262072667,,,
epoch046_train_12_ha_seg042,46,12,42,0,16000,43968,43968,-20.091933473336567,-8.468216360140817,1.0830920934677124,0.32221100765114885,-10.272488509427124,-9.819444963909444,,,
epoch046_train_12_ha_seg042,46,12,42,1,16000,43968,43968,-0.6756694303251003,-27.992117010139864,1.226979374885559,0.35098774426935603,-14.265094534964014,13.589425104638913,,,
epoch046_train_12_ha_seg042,46,12,42,2,16000,43968,43968,-0.04372395748156365,-28.915669900668625,1.1771600246429443,0.35880210581870553,-7.28799142670978,7.244267469228217,,,
epoch020_train_02_ha_seg057,20,2,57,0,16000,10176,10176,-14.517204892002127,-5.821878581216517,1.4880430698394775,0.782852693306608,-13.777930752132885,-0.7392741398692415,,,
epoch020_train_02_ha_seg057,20,2,57,1,16000,10176,10176,-0.0026261287024581486,-28.517340190909273,1.0285604000091553,0.3141474479746363,-10.919400716355092,10.916774587652634,,,
epoch020_train_02_ha_seg057,20,2,57,2,16000,10176,10176,-0.21630797898584295,-36.073408037942016,1.018344521522522,0.3182361798115553,-18.989468714383143,18.7731607353973,,,
epoch040_train_26_ha_seg096,40,26,96,0,16000,33728,33728,-3.562071648366091,-14.457748405523056,1.1409270763397217,0.7392460075921993,-2.3308979508646717,-1.2311736975014194,,,
epoch040_train_26_ha_seg096,40,26,96,1,16000,33728,33728,-0.4446005595401019,-29.09332098888948,1.0473700761795044,0.451996718011715,-15.368512517249233,14.92391195770913,,,
epoch040_train_26_ha_seg096,40,26,96,2,16000,33728,33728,-0.34643419732198033,-56.97790226408125,1.050959825515747,0.2994321429913068,-14.413469359631128,14.067035162309148,,,
epoch040_train_04_ha_seg125,40,4,125,0,16000,33728,33728,-20.21161561203476,-7.247281628647338,1.1606404781341553,0.48368905519562305,-13.619389374710389,-6.59222623732437,,,
